A11_5,A2,A5_1,A5_2,A5_3,A5_4,A5_5,B2_2,B7_3,B7_4,B7_6,B8_4
1,25.0,2,4,3,1,5,1,1,2,1,2
1,25.0,2,3,4,1,5,0,2,4,5,2
1,23.0,1,2,3,4,5,1,3,4,6,2
0,24.0,2,1,3,4,5,0,5,4,3,5
0,24.0,2,3,4,1,5,0,4,6,5,2
1,22.0,1,3,2,5,4,0,3,6,2,4
0,21.0,3,2,1,5,4,0,2,4,6,4
1,20.0,1,3,2,5,5,0,3,4,6,4
0,26.0,1,2,3,5,4,1,3,6,5,5
1,21.0,3,1,5,4,2,1,4,2,3,4
0,26.0,2,4,3,1,5,1,1,4,5,4
1,24.0,2,1,4,3,4,1,3,6,4,3
0,23.0,2,1,3,4,3,1,3,4,2,3
1,20.0,4,1,2,2,2,0,2,3,3,2
0,22.0,3,2,1,5,4,1,3,4,6,3
1,20.0,1,2,3,3,2,1,3,2,3,3
1,25.0,1,2,3,5,4,0,5,4,3,2
1,20.0,2,1,3,5,4,0,4,4,3,2
0,22.0,3,1,3,5,2,1,5,4,2,1
1,23.0,5,4,3,1,5,1,2,3,1,1
0,27.0,1,2,4,5,3,0,3,4,5,3
0,23.0,5,2,3,4,1,0,5,4,3,3
1,24.0,2,3,3,1,5,0,5,5,5,2
0,23.0,2,3,4,1,4,0,4,4,1,4
1,24.0,1,2,3,4,4,1,3,3,3,2
1,27.0,1,3,4,5,2,1,3,4,6,1
1,21.0,4,1,3,5,2,1,5,6,3,3
0,23.0,2,3,1,4,3,1,1,3,4,3
0,25.0,1,2,3,4,5,1,1,1,1,1
1,24.0,1,3,2,5,4,1,3,5,4,2
0,30.0,3,2,4,1,4,0,4,2,3,1
1,20.0,2,3,4,1,5,0,5,3,6,4
0,24.0,1,2,4,5,3,1,6,3,5,1
1,21.0,1,3,2,2,4,0,1,1,1,3
0,26.0,1,2,3,4,5,1,3,4,6,4
1,25.0,1,2,3,5,4,1,3,6,6,1
1,23.0,2,1,4,5,3,0,4,3,6,3
0,25.0,1,2,3,5,4,1,3,6,5,2
0,22.0,1,2,3,5,4,0,5,6,3,4
1,26.0,1,2,3,5,4,0,6,5,3,1
1,24.0,1,3,2,5,5,1,4,2,6,1
0,20.0,1,2,3,4,4,0,3,3,5,5
0,23.0,1,3,5,2,4,1,6,5,4,1
0,23.0,1,2,4,4,4,0,1,1,4,3
1,24.0,1,3,4,2,5,0,3,6,4,3
1,23.0,1,3,4,2,5,0,6,3,5,2
0,24.0,4,1,3,4,2,0,2,6,5,1
